Store code,store name,Brand,country,channel
M18,Langham,M,HK,정상
M10,ISQUARE,M,HK,정상
M01,Mongkok,M,HK,정상
M14,NTP1,M,HK,정상
M11,APM,M,HK,정상
M17,TMT,M,HK,정상
M05,LCX,M,HK,정상
M02,TimesSquare,M,HK,정상
M22,YOHO,M,HK,정상
M09,SheungShui,M,HK,정상
M16,HysanPlace,M,HK,정상
M19,NTP KIDS,M,HK,정상
M07,CITYGATE(O),M,HK,아울렛
M21,MOKO(O),M,HK,아울렛
M15,YuenLong(O),M,HK,아울렛
M13,MegaMall,M,HK,아울렛
M08,VCity,M,HK,정상
M12,WTC,M,HK,정상
MC1,Venetian,M,MC,정상
MC3,SenadoSquare,M,MC,정상
MC2,Londoner,M,MC,정상
MC4,Senado(O),M,MC,아울렛
HE1,Zalora,M,HK,온라인
HE2,Official MLB,M,HK,온라인
X01,K11Musea,X,HK,정상
XE1,Official DX,X,HK,온라인
M03,0,M,HK,정상
M06,K11,M,HK,정상
M20,OT KIDS,M,HK,정상
WMM,MCMAINWAREHOUSE,M,MC,Warehouse
XHM,MAINWAREHOUSE,X,HK,Warehouse
WHM,MAINWAREHOUSE,M,HK,Warehouse
MC3DGM,0,M,MC,Warehouse
T01,ZHONGXIAO,M,TW,정상
T02,MITSUKOSHI NANJING,M,TW,정상
T03,TAIPEI 101,M,TW,정상
T04,MITSUKOSHI A11,M,TW,정상
T05,MITSUKOSHI TAICHUNG,M,TW,정상
T06,CHUNGYO,M,TW,정상
T07,BIG CITY,M,TW,정상
T08,HANSHIN ARENA,M,TW,정상
T09,ESLITE TC,M,TW,정상
T10,MAGA CITY BANQIAO,M,TW,정상
T11,TS MALL,M,TW,정상
T12,TAIMALL,M,TW,정상
T13,SKM Tainan,M,TW,정상
TU1,MK TC Outlet,M,TW,아울렛
TU2,LINKOU,M,TW,아울렛
T14,METROWALK,M,TW,정상
T15,ESLITE XINDIAN,M,TW,정상
T16,SOGO ZHONGXIAO,M,TW,정상
TU3,GLORIA OUTLET,M,TW,아울렛
T17,NANGANG LALAPORT,M,TW,정상
T18,TAICHUNG LALAPORT,M,TW,정상
D01,MITSUKOSHI A11 DISCOVERY,X,TW,정상
D02,TC LALAPORT　DISCOVERY,X,TW,정상
D03,MITSUKOSHI TAICHUNG DISCOVERY,X,TW,정상
D04,SOGO GARDEN CITY,X,TW,정상
D05,Taimall,X,TW,정상
DE1,MOMO,X,TW,온라인
DE2,Official Online,X,TW,온라인
TE1,MOMO,M,TW,온라인
TE2,Official Online,M,TW,온라인
TE3,SHOPEE,M,TW,온라인
TE4,LINE GIFT,M,TW,온라인
DTE,WAREHOUSE EC,X,TW,Warehouse
DTM,WAREHOUSE Main,X,TW,Warehouse
WTE,WAREHOUSE EC,M,TW,Warehouse
WTM,WAREHOUSE Main,M,TW,Warehouse
