대분류,중분류,소분류
기타ACC,Acc_etc,SO
가방,BAG,BG
가방,BAG,BK
가방,BAG,CR
가방,BAG,HS
가방,BAG,SG
가방,BAG,UB
의류,BOTTOM,DP
의류,BOTTOM,LG
의류,BOTTOM,PT
의류,BOTTOM,SK
의류,BOTTOM,SM
의류,BOTTOM,SP
의류,BOTTOM,TP
의류,BOTTOM,WP
모자,Headwear,BN
모자,Headwear,CP
모자,Headwear,HT
모자,Headwear,SC
모자,Headwear,WR
의류,INNER,BS
의류,INNER,HD
의류,INNER,KP
의류,INNER,MT
의류,INNER,OP
의류,INNER,PQ
의류,INNER,TK
의류,INNER,TR
의류,INNER,TS
의류,INNER,WS
의류,OUTER,DJ
의류,OUTER,DK
의류,OUTER,FD
의류,OUTER,JP
의류,OUTER,KC
의류,OUTER,WJ
신발,Shoes,CV
신발,Shoes,LP
신발,Shoes,MU
신발,Shoes,SH
신발,Shoes,SX
의류,Wear_etc,S6
기타ACC,Acc_etc,ET
기타ACC,Acc_etc,MF
기타ACC,Acc_etc,ML
기타ACC,Acc_etc,PO
기타ACC,Acc_etc,TW
가방,BAG,BM
가방,BAG,BQ
가방,BAG,BW
가방,BAG,OR
의류,BOTTOM,DS
모자,Headwear,CB
모자,Headwear,MC
의류,INNER,DD
의류,INNER,DR
의류,INNER,RS
의류,INNER,SW
의류,INNER,TO
의류,OUTER,DV
의류,OUTER,JK
의류,OUTER,KT
의류,OUTER,PD
의류,OUTER,VT
신발,Shoes,RN
신발,Shoes,SD
기타ACC,Acc_etc,PE
의류,BOTTOM,DT
의류,INNER,S2
신발,Shoes,WB
의류,Wear_etc,S1
의류,Wear_etc,S2
기타ACC,Acc_etc,GL
기타ACC,Acc_etc,JA
기타ACC,Acc_etc,JB
기타ACC,Acc_etc,JC
모자,Headwear,WM
의류,OUTER,TR
의류,Wear_etc,BV
기타ACC,Acc_etc,JD
의류,BOTTOM,SW
의류,INNER,ZT
의류,OUTER,CT
의류,OUTER,LE
의류,Wear_etc,S5
기타ACC,Acc_etc,DC
의류,INNER,RL
의류,OUTER,SS
기타ACC,Acc_etc,AC
가방,BAG,BZ
의류,INNER,TL
의류,Wear_etc,BR
