sheet_name,row_kind,season_group,season_name,type_name,month_name,month_code,sold_amt,sold_gross,soh_price
2026 PLAN (2),detail,SEASONAL,2022SS,ACCESSORY,JAN,2601,-20.549999999999983,-40.0,1125691.0
2026 PLAN (2),detail,SEASONAL,2022SS,ACCESSORY,FEB,2602,284.82,628.0,1125063.0
2026 PLAN (2),detail,SEASONAL,2022SS,ACCESSORY,MAR,2603,0.0,0.0,1125063.0
2026 PLAN (2),detail,SEASONAL,2022SS,ACCESSORY,APR,2604,0.0,0.0,1125063.0
2026 PLAN (2),detail,SEASONAL,2022SS,ACCESSORY,MAY,2605,0.0,0.0,1125063.0
2026 PLAN (2),detail,SEASONAL,2022SS,ACCESSORY,JUN,2606,0.0,0.0,1125063.0
2026 PLAN (2),detail,SEASONAL,2022SS,ACCESSORY,JUL,2607,0.0,0.0,1125063.0
2026 PLAN (2),detail,SEASONAL,2022SS,ACCESSORY,AUG,2608,0.0,0.0,1125063.0
2026 PLAN (2),detail,SEASONAL,2022SS,ACCESSORY,SEP,2609,0.0,0.0,1125063.0
2026 PLAN (2),detail,SEASONAL,2022SS,ACCESSORY,OCT,2610,0.0,0.0,1125063.0
2026 PLAN (2),detail,SEASONAL,2022SS,ACCESSORY,NOV,2611,0.0,0.0,1125063.0
2026 PLAN (2),detail,SEASONAL,2022SS,ACCESSORY,DEC,2612,0.0,0.0,1125063.0
2026 PLAN (2),detail,SEASONAL,2022SS,WEAR,JAN,2601,2195.72,4230.0,2216796.0
2026 PLAN (2),detail,SEASONAL,2022SS,WEAR,FEB,2602,2241.79,4201.0,2212595.0
2026 PLAN (2),detail,SEASONAL,2022SS,WEAR,MAR,2603,0.0,0.0,2212595.0
2026 PLAN (2),detail,SEASONAL,2022SS,WEAR,APR,2604,0.0,0.0,2212595.0
2026 PLAN (2),detail,SEASONAL,2022SS,WEAR,MAY,2605,0.0,0.0,2212595.0
2026 PLAN (2),detail,SEASONAL,2022SS,WEAR,JUN,2606,0.0,0.0,2212595.0
2026 PLAN (2),detail,SEASONAL,2022SS,WEAR,JUL,2607,0.0,0.0,2212595.0
2026 PLAN (2),detail,SEASONAL,2022SS,WEAR,AUG,2608,0.0,0.0,2212595.0
2026 PLAN (2),detail,SEASONAL,2022SS,WEAR,SEP,2609,0.0,0.0,2212595.0
2026 PLAN (2),detail,SEASONAL,2022SS,WEAR,OCT,2610,0.0,0.0,2212595.0
2026 PLAN (2),detail,SEASONAL,2022SS,WEAR,NOV,2611,0.0,0.0,2212595.0
2026 PLAN (2),detail,SEASONAL,2022SS,WEAR,DEC,2612,0.0,0.0,2212595.0
2026 PLAN (2),season_total,SEASONAL,2022SS Total,,JAN,2601,2175.1699999999996,4190.0,3342487.0
2026 PLAN (2),season_total,SEASONAL,2022SS Total,,FEB,2602,2526.61,4829.0,3337658.0
2026 PLAN (2),season_total,SEASONAL,2022SS Total,,MAR,2603,0.0,0.0,3337658.0
2026 PLAN (2),season_total,SEASONAL,2022SS Total,,APR,2604,0.0,0.0,3337658.0
2026 PLAN (2),season_total,SEASONAL,2022SS Total,,MAY,2605,0.0,0.0,3337658.0
2026 PLAN (2),season_total,SEASONAL,2022SS Total,,JUN,2606,0.0,0.0,3337658.0
2026 PLAN (2),season_total,SEASONAL,2022SS Total,,JUL,2607,0.0,0.0,3337658.0
2026 PLAN (2),season_total,SEASONAL,2022SS Total,,AUG,2608,0.0,0.0,3337658.0
2026 PLAN (2),season_total,SEASONAL,2022SS Total,,SEP,2609,0.0,0.0,3337658.0
2026 PLAN (2),season_total,SEASONAL,2022SS Total,,OCT,2610,0.0,0.0,3337658.0
2026 PLAN (2),season_total,SEASONAL,2022SS Total,,NOV,2611,0.0,0.0,3337658.0
2026 PLAN (2),season_total,SEASONAL,2022SS Total,,DEC,2612,0.0,0.0,3337658.0
2026 PLAN (2),detail,SEASONAL,2022FW,ACCESSORY,JAN,2601,39331.96,90295.0,3658735.0
2026 PLAN (2),detail,SEASONAL,2022FW,ACCESSORY,FEB,2602,24463.82,64239.0,3594496.0
2026 PLAN (2),detail,SEASONAL,2022FW,ACCESSORY,MAR,2603,0.0,0.0,3594496.0
2026 PLAN (2),detail,SEASONAL,2022FW,ACCESSORY,APR,2604,0.0,0.0,3594496.0
2026 PLAN (2),detail,SEASONAL,2022FW,ACCESSORY,MAY,2605,0.0,0.0,3594496.0
2026 PLAN (2),detail,SEASONAL,2022FW,ACCESSORY,JUN,2606,0.0,0.0,3594496.0
2026 PLAN (2),detail,SEASONAL,2022FW,ACCESSORY,JUL,2607,0.0,0.0,3594496.0
2026 PLAN (2),detail,SEASONAL,2022FW,ACCESSORY,AUG,2608,0.0,0.0,3594496.0
2026 PLAN (2),detail,SEASONAL,2022FW,ACCESSORY,SEP,2609,0.0,0.0,3594496.0
2026 PLAN (2),detail,SEASONAL,2022FW,ACCESSORY,OCT,2610,0.0,0.0,3594496.0
2026 PLAN (2),detail,SEASONAL,2022FW,ACCESSORY,NOV,2611,0.0,0.0,3594496.0
2026 PLAN (2),detail,SEASONAL,2022FW,ACCESSORY,DEC,2612,0.0,0.0,3594496.0
2026 PLAN (2),detail,SEASONAL,2022FW,WEAR,JAN,2601,252109.5,760936.0,12846275.0
2026 PLAN (2),detail,SEASONAL,2022FW,WEAR,FEB,2602,225521.26000000004,657524.0,12188751.0
2026 PLAN (2),detail,SEASONAL,2022FW,WEAR,MAR,2603,0.0,0.0,12188751.0
2026 PLAN (2),detail,SEASONAL,2022FW,WEAR,APR,2604,0.0,0.0,12188751.0
2026 PLAN (2),detail,SEASONAL,2022FW,WEAR,MAY,2605,0.0,0.0,12188751.0
2026 PLAN (2),detail,SEASONAL,2022FW,WEAR,JUN,2606,0.0,0.0,12188751.0
2026 PLAN (2),detail,SEASONAL,2022FW,WEAR,JUL,2607,0.0,0.0,12188751.0
2026 PLAN (2),detail,SEASONAL,2022FW,WEAR,AUG,2608,0.0,0.0,12188751.0
2026 PLAN (2),detail,SEASONAL,2022FW,WEAR,SEP,2609,0.0,0.0,12188751.0
2026 PLAN (2),detail,SEASONAL,2022FW,WEAR,OCT,2610,0.0,0.0,12188751.0
2026 PLAN (2),detail,SEASONAL,2022FW,WEAR,NOV,2611,0.0,0.0,12188751.0
2026 PLAN (2),detail,SEASONAL,2022FW,WEAR,DEC,2612,0.0,0.0,12188751.0
2026 PLAN (2),season_total,SEASONAL,2022FW Total,,JAN,2601,291441.46,851231.0,16505010.0
2026 PLAN (2),season_total,SEASONAL,2022FW Total,,FEB,2602,249985.08000000005,721763.0,15783247.0
2026 PLAN (2),season_total,SEASONAL,2022FW Total,,MAR,2603,0.0,0.0,15783247.0
2026 PLAN (2),season_total,SEASONAL,2022FW Total,,APR,2604,0.0,0.0,15783247.0
2026 PLAN (2),season_total,SEASONAL,2022FW Total,,MAY,2605,0.0,0.0,15783247.0
2026 PLAN (2),season_total,SEASONAL,2022FW Total,,JUN,2606,0.0,0.0,15783247.0
2026 PLAN (2),season_total,SEASONAL,2022FW Total,,JUL,2607,0.0,0.0,15783247.0
2026 PLAN (2),season_total,SEASONAL,2022FW Total,,AUG,2608,0.0,0.0,15783247.0
2026 PLAN (2),season_total,SEASONAL,2022FW Total,,SEP,2609,0.0,0.0,15783247.0
2026 PLAN (2),season_total,SEASONAL,2022FW Total,,OCT,2610,0.0,0.0,15783247.0
2026 PLAN (2),season_total,SEASONAL,2022FW Total,,NOV,2611,0.0,0.0,15783247.0
2026 PLAN (2),season_total,SEASONAL,2022FW Total,,DEC,2612,0.0,0.0,15783247.0
2026 PLAN (2),detail,SEASONAL,2023SS,ACCESSORY,JAN,2601,4829.24,10170.0,1949855.0
2026 PLAN (2),detail,SEASONAL,2023SS,ACCESSORY,FEB,2602,2733.08,5719.0,1944136.0
2026 PLAN (2),detail,SEASONAL,2023SS,ACCESSORY,MAR,2603,0.0,0.0,1944136.0
2026 PLAN (2),detail,SEASONAL,2023SS,ACCESSORY,APR,2604,18550.0,61833.33333333332,1882302.6666666667
2026 PLAN (2),detail,SEASONAL,2023SS,ACCESSORY,MAY,2605,20900.0,69666.66666666666,1812636.0
2026 PLAN (2),detail,SEASONAL,2023SS,ACCESSORY,JUN,2606,19220.0,71185.18518518518,1741450.8148148148
2026 PLAN (2),detail,SEASONAL,2023SS,ACCESSORY,JUL,2607,22500.0,90000.0,1651450.8148148148
2026 PLAN (2),detail,SEASONAL,2023SS,ACCESSORY,AUG,2608,25050.0,100200.0,1551250.8148148148
2026 PLAN (2),detail,SEASONAL,2023SS,ACCESSORY,SEP,2609,0.0,0.0,1551250.8148148148
2026 PLAN (2),detail,SEASONAL,2023SS,ACCESSORY,OCT,2610,0.0,0.0,1551250.8148148148
2026 PLAN (2),detail,SEASONAL,2023SS,ACCESSORY,NOV,2611,0.0,0.0,1551250.8148148148
2026 PLAN (2),detail,SEASONAL,2023SS,ACCESSORY,DEC,2612,0.0,0.0,1551250.8148148148
2026 PLAN (2),detail,SEASONAL,2023SS,WEAR,JAN,2601,31386.229999999996,67741.0,20273992.0
2026 PLAN (2),detail,SEASONAL,2023SS,WEAR,FEB,2602,46185.97999999999,96480.0,20177512.0
2026 PLAN (2),detail,SEASONAL,2023SS,WEAR,MAR,2603,94500.0,210000.00000000003,19967512.0
2026 PLAN (2),detail,SEASONAL,2023SS,WEAR,APR,2604,148400.0,494666.66666666657,19472845.333333332
2026 PLAN (2),detail,SEASONAL,2023SS,WEAR,MAY,2605,209000.0,696666.6666666665,18776178.666666664
2026 PLAN (2),detail,SEASONAL,2023SS,WEAR,JUN,2606,192200.0,711851.8518518518,18064326.814814813
2026 PLAN (2),detail,SEASONAL,2023SS,WEAR,JUL,2607,337500.0,1350000.0,16714326.814814813
2026 PLAN (2),detail,SEASONAL,2023SS,WEAR,AUG,2608,325650.0,1302600.0,15411726.814814813
2026 PLAN (2),detail,SEASONAL,2023SS,WEAR,SEP,2609,231000.0,924000.0,14487726.814814813
2026 PLAN (2),detail,SEASONAL,2023SS,WEAR,OCT,2610,113900.0,455600.0,14032126.814814813
2026 PLAN (2),detail,SEASONAL,2023SS,WEAR,NOV,2611,0.0,0.0,14032126.814814813
2026 PLAN (2),detail,SEASONAL,2023SS,WEAR,DEC,2612,0.0,0.0,14032126.814814813
2026 PLAN (2),season_total,SEASONAL,2023SS Total,,JAN,2601,36215.469999999994,77911.0,22223847.0
2026 PLAN (2),season_total,SEASONAL,2023SS Total,,FEB,2602,48919.05999999999,102199.0,22121648.0
2026 PLAN (2),season_total,SEASONAL,2023SS Total,,MAR,2603,94500.0,210000.00000000003,21911648.0
2026 PLAN (2),season_total,SEASONAL,2023SS Total,,APR,2604,166950.0,556499.9999999999,21355148.0
2026 PLAN (2),season_total,SEASONAL,2023SS Total,,MAY,2605,229900.0,766333.3333333331,20588814.666666664
2026 PLAN (2),season_total,SEASONAL,2023SS Total,,JUN,2606,211420.0,783037.037037037,19805777.629629627
2026 PLAN (2),season_total,SEASONAL,2023SS Total,,JUL,2607,360000.0,1440000.0,18365777.629629627
2026 PLAN (2),season_total,SEASONAL,2023SS Total,,AUG,2608,350700.0,1402800.0,16962977.629629627
2026 PLAN (2),season_total,SEASONAL,2023SS Total,,SEP,2609,231000.0,924000.0,16038977.629629629
2026 PLAN (2),season_total,SEASONAL,2023SS Total,,OCT,2610,113900.0,455600.0,15583377.629629629
2026 PLAN (2),season_total,SEASONAL,2023SS Total,,NOV,2611,0.0,0.0,15583377.629629629
2026 PLAN (2),season_total,SEASONAL,2023SS Total,,DEC,2612,0.0,0.0,15583377.629629629
2026 PLAN (2),detail,SEASONAL,2023FW,ACCESSORY,JAN,2601,261157.33000000002,610952.0,9482643.0
2026 PLAN (2),detail,SEASONAL,2023FW,ACCESSORY,FEB,2602,164588.23999999996,384290.0,9098353.0
2026 PLAN (2),detail,SEASONAL,2023FW,ACCESSORY,MAR,2603,0.0,0.0,9098353.0
2026 PLAN (2),detail,SEASONAL,2023FW,ACCESSORY,APR,2604,0.0,0.0,9098353.0
2026 PLAN (2),detail,SEASONAL,2023FW,ACCESSORY,MAY,2605,0.0,0.0,9098353.0
2026 PLAN (2),detail,SEASONAL,2023FW,ACCESSORY,JUN,2606,0.0,0.0,9098353.0
2026 PLAN (2),detail,SEASONAL,2023FW,ACCESSORY,JUL,2607,0.0,0.0,9098353.0
2026 PLAN (2),detail,SEASONAL,2023FW,ACCESSORY,AUG,2608,0.0,0.0,9098353.0
2026 PLAN (2),detail,SEASONAL,2023FW,ACCESSORY,SEP,2609,15400.0,38500.0,9059853.0
