sheet_name,comparison_label,category,month_name,month_code,amt_yoy
2026 PLAN (2),26 VS 25,ACCESSORY,JAN,2601,0.7846831839439976
2026 PLAN (2),26 VS 25,ACCESSORY,FEB,2602,2.1476622473385083
2026 PLAN (2),26 VS 25,ACCESSORY,MAR,2603,1.1718666033931888
2026 PLAN (2),26 VS 25,ACCESSORY,APR,2604,1.0767360560835442
2026 PLAN (2),26 VS 25,ACCESSORY,MAY,2605,1.1727538190685163
2026 PLAN (2),26 VS 25,ACCESSORY,JUN,2606,1.1853995254792478
2026 PLAN (2),26 VS 25,ACCESSORY,JUL,2607,1.062019127027568
2026 PLAN (2),26 VS 25,ACCESSORY,AUG,2608,1.0341708020294396
2026 PLAN (2),26 VS 25,ACCESSORY,SEP,2609,1.062159058653647
2026 PLAN (2),26 VS 25,ACCESSORY,OCT,2610,1.1227609717869391
2026 PLAN (2),26 VS 25,ACCESSORY,NOV,2611,1.0960361789982012
2026 PLAN (2),26 VS 25,ACCESSORY,DEC,2612,1.2492644828973825
2026 PLAN (2),26 VS 25,WEAR,JAN,2601,0.7740165472296742
2026 PLAN (2),26 VS 25,WEAR,FEB,2602,1.9154985596429908
2026 PLAN (2),26 VS 25,WEAR,MAR,2603,1.031149585896106
2026 PLAN (2),26 VS 25,WEAR,APR,2604,1.0242772946009107
2026 PLAN (2),26 VS 25,WEAR,MAY,2605,1.164927400044691
2026 PLAN (2),26 VS 25,WEAR,JUN,2606,1.3030552185636828
2026 PLAN (2),26 VS 25,WEAR,JUL,2607,1.163126827453699
2026 PLAN (2),26 VS 25,WEAR,AUG,2608,1.0260806740969313
2026 PLAN (2),26 VS 25,WEAR,SEP,2609,1.1819179154891257
2026 PLAN (2),26 VS 25,WEAR,OCT,2610,1.1283309632943073
2026 PLAN (2),26 VS 25,WEAR,NOV,2611,1.0785793010798423
2026 PLAN (2),26 VS 25,WEAR,DEC,2612,1.4249477469414447
2026 PLAN (2),26 VS 25,TOTAL,JAN,2601,0.7793902960098773
2026 PLAN (2),26 VS 25,TOTAL,FEB,2602,2.041319206247505
2026 PLAN (2),26 VS 25,TOTAL,MAR,2603,1.1033568592133671
2026 PLAN (2),26 VS 25,TOTAL,APR,2604,1.0496945173074064
2026 PLAN (2),26 VS 25,TOTAL,MAY,2605,1.168835334745364
2026 PLAN (2),26 VS 25,TOTAL,JUN,2606,1.2413285731495562
2026 PLAN (2),26 VS 25,TOTAL,JUL,2607,1.1097716112959233
2026 PLAN (2),26 VS 25,TOTAL,AUG,2608,1.0306116785842097
2026 PLAN (2),26 VS 25,TOTAL,SEP,2609,1.1182461524936678
2026 PLAN (2),26 VS 25,TOTAL,OCT,2610,1.1255836379071
2026 PLAN (2),26 VS 25,TOTAL,NOV,2611,1.086400440951553
2026 PLAN (2),26 VS 25,TOTAL,DEC,2612,1.3362513162579712
