brand,region,country,store_type,channel,shop_cd,shop_name,month,net_sales,gross_profit,sga,operating_profit,rent,base_rent,government_rate,turnover_rates,service_fees,other_fees,freight_expense,ad_promo,payroll,gross_margin_rate,service_fee_rate,turnover_rate,other_fee_rate,freight_rate,ad_promo_rate,payroll_rate,rent_rule_type,service_fee_rule_type,turnover_formula,service_fee_formula,notes
M,HKMC,HK,기존점,리테일,M01,Mongkok,2603,1500.0,985.4451577946813,1056.1270399999992,-70.68188220531783,544.65,,,,22.5,77.98508,68.62680999999999,5.581,182.9625,0.6569634385297876,0.015,,0.05199005333333333,0.04575120666666666,0.003720666666666667,0.121975,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E98,'HKMC 2026 PL'!$C$8:$MW$8,BM$5)/1000",
M,HKMC,HK,기존점,리테일,M02,TSQ,2603,0.0,0.0,422.69340000000005,-422.69340000000005,217.2,,,,0.0,40.74177,0.0,3.366,109.30499999999999,,,,,,,,blank_or_zero,blank_or_zero,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E132,'HKMC 2026 PL'!$C$8:$MW$8,BM$5)/1000",
M,HKMC,HK,기존점,리테일,M05,LCX,2603,700.0,460.43756706027443,571.06286,-110.62529293972557,312.34999999999997,,,,10.5,46.860130000000005,31.241,3.366,104.58,0.6577679529432492,0.015,,0.06694304285714286,0.044629999999999996,0.0048085714285714285,0.1494,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E166,'HKMC 2026 PL'!$C$8:$MW$8,BM$5)/1000",
M,HKMC,HK,기존점,리테일,M08,Vcity,2603,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,blank_or_zero,blank_or_zero,,,
M,HKMC,HK,기존점,리테일,M09,Shangshui,2603,450.0,262.80000000000007,308.3164299999998,-45.51642999999973,150.2,,,,6.75,32.38573,20.084,3.366,88.095,0.5840000000000002,0.015,,0.0719682888888889,0.04463111111111111,0.0074800000000000005,0.19576666666666667,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E302,'HKMC 2026 PL'!$C$8:$MW$8,BM$5)/1000",
M,HKMC,HK,기존점,리테일,M10,ISQ,2603,1600.0,1050.2502286660304,1092.00749,-41.75726133396961,648.501,,,,24.0,53.25315,71.408,3.366,203.59499999999997,0.656406392916269,0.015,,0.033283218749999996,0.04463,0.00210375,0.12724687499999998,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E336,'HKMC 2026 PL'!$C$8:$MW$8,BM$5)/1000",
M,HKMC,HK,기존점,리테일,M11,APM,2603,850.0,561.9507160873429,415.0188699999997,146.93184608734322,172.15,,,,12.75,48.58697,37.936,3.766,130.095,0.6611184895145211,0.015,,0.05716114117647059,0.044630588235294116,0.004430588235294118,0.15305294117647059,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E370,'HKMC 2026 PL'!$C$8:$MW$8,BM$5)/1000",
M,HKMC,HK,신규점,리테일,M12,WTC,2603,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,blank_or_zero,blank_or_zero,,,
M,HKMC,HK,기존점,리테일,M13,Megamall,2603,350.0,183.2112689978994,262.91096999999996,-79.69970100210057,118.45,,,,5.25,44.61797,15.621,3.366,67.515,0.5234607685654269,0.015,,0.12747991428571429,0.04463142857142857,0.009617142857142857,0.1929,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E404,'HKMC 2026 PL'!$C$8:$MW$8,BM$5)/1000",
M,HKMC,HK,기존점,리테일,M14,NTP,2603,1000.0,655.9095718284459,740.7414700000002,-84.83189817155426,423.47968,,,,15.0,84.69563000000001,44.63,3.366,149.52,0.6559095718284459,0.015,,0.08469563000000001,0.04463,0.003366,0.14952000000000001,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E438,'HKMC 2026 PL'!$C$8:$MW$8,BM$5)/1000",
M,HKMC,HK,신규점,리테일,M16,Hysan,2603,600.0,396.66217310851516,416.8965199999998,-20.23434689148462,190.60999999999999,,,,9.0,39.623979999999996,26.778,3.366,107.52000000000001,0.6611036218475252,0.015,,0.06603996666666666,0.044629999999999996,0.00561,0.17920000000000003,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E608,'HKMC 2026 PL'!$C$8:$MW$8,BM$5)/1000",
M,HKMC,HK,신규점,리테일,M17,TMT,2603,500.0,326.3537170380303,271.94765000000007,54.406067038030244,125.12,,,,7.5,35.76708,22.189,3.366,70.455,0.6527074340760606,0.015,,0.07153416,0.044378,0.006732,0.14091,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E642,'HKMC 2026 PL'!$C$8:$MW$8,BM$5)/1000",
M,HKMC,HK,신규점,리테일,M18,LANGHAM,2603,0.0,0.0,658.0898433333334,-658.0898433333334,376.8659133333333,,,,0.0,44.74939,0.0,27.366,146.37,,,,,,,,blank_or_zero,blank_or_zero,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E676,'HKMC 2026 PL'!$C$8:$MW$8,BM$5)/1000",
M,HKMC,HK,신규점,리테일,M19,NTP 3,2603,150.0,97.34087461063352,242.22679999999997,-144.88592538936643,131.08,,,,2.25,20.92498,6.695,3.366,44.94,0.6489391640708901,0.015,,0.13949986666666667,0.04463333333333334,0.02244,0.2996,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E710,'HKMC 2026 PL'!$C$8:$MW$8,BM$5)/1000",
M,HKMC,HK,신규점,리테일,M20,Ocean TM,2603,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,blank_or_zero,blank_or_zero,,,
M,HKMC,HK,신규점,리테일,M22,Yoho,2603,500.0,325.25982260599386,578.18747,-252.9276473940061,314.735,,,,7.5,54.3677,22.315,3.366,91.455,0.6505196452119877,0.015,,0.1087354,0.04463,0.006732,0.18291,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E812,'HKMC 2026 PL'!$C$8:$MW$8,BM$5)/1000",
M,HKMC,MC,기존점,리테일,MC1,Venetian,2603,2300.0,1465.7462428949834,1267.0132140776705,198.73302881731297,702.48,,,,18.4,109.56600999999999,102.649,3.366,223.1456340776699,0.6372809751717319,0.008,,0.04763739565217391,0.04463,0.0014634782608695654,0.09701984090333475,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E948,'HKMC 2026 PL'!$C$8:$MW$8,BM$5)/1000",
M,HKMC,MC,기존점,리테일,MC2,Londoner,2603,650.0,412.7018950000979,522.7903007766992,-110.08840577660123,259.4,,,,5.2,43.19892,29.01,3.366,111.55340077669904,0.634925992307843,0.008,,0.06645987692307692,0.04463076923076923,0.005178461538461539,0.17162061657953698,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E982,'HKMC 2026 PL'!$C$8:$MW$8,BM$5)/1000",
M,HKMC,MC,기존점,리테일,MC3,Senado,2603,1250.0,810.3394572978573,787.0217487378641,23.317708559993207,500.0,,,,10.0,13.305420000000002,55.788,3.366,155.3592187378641,0.6482715658382858,0.008,,0.010644336,0.0446304,0.0026928,0.12428737499029127,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E1016,'HKMC 2026 PL'!$C$8:$MW$8,BM$5)/1000",
M,HKMC,MC,기존점,리테일,W01,신라면세점,2603,,,,0.0,,,,,,,,,,,,,,,,,blank_or_zero,blank_or_zero,,,
X,HKMC,HK,신규점,리테일,X01,K11 MUSEA,2603,750.0,490.6231648196229,639.7642299999999,-149.14106518037698,250.84,,,,15.0,85.52772,33.473,3.366,153.405,0.6541642197594972,0.02,,0.11403696,0.044630666666666666,0.004488,0.20454,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E846,'HKMC 2026 PL'!$C$8:$MW$8,BM$5)/1000",
M,HKMC,HK,기존점,아울렛,M03,Temp HK,2603,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,blank_or_zero,blank_or_zero,,,
M,HKMC,HK,기존점,아울렛,M07,Citygate,2603,1600.0,760.882842334371,564.4810999999997,196.4017423343713,252.05,,,,24.0,20.67725,71.408,3.366,178.07999999999998,0.4755517764589819,0.015,,0.01292328125,0.04463,0.00210375,0.1113,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E234,'HKMC 2026 PL'!$C$8:$MW$8,BM$5)/1000",
M,HKMC,HK,기존점,아울렛,M15,Yuenlong,2603,460.0,211.4432318637434,227.41820000000004,-15.97496813625665,65.95,,,,6.9,29.26539,20.53,3.366,94.395,0.45965919970379,0.015000000000000001,,0.06362041304347826,0.0446304347826087,0.007317391304347826,0.20520652173913043,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E472,'HKMC 2026 PL'!$C$8:$MW$8,BM$5)/1000",
M,HKMC,HK,신규점,아울렛,M21,Moko,2603,850.0,401.2137326137179,395.30011000000013,5.913622613717791,159.6,,,,12.75,47.33498,37.936,3.366,98.49,0.4720161560161387,0.015,,0.05568821176470588,0.044630588235294116,0.00396,0.11587058823529411,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E778,'HKMC 2026 PL'!$C$8:$MW$8,BM$5)/1000",
