sheet_name,plan_year,month_name,month_code,target_amt
2026 PLAN (2),2026,JAN,2601,28849486.0
2026 PLAN (2),2026,FEB,2602,36883565.0
2026 PLAN (2),2026,MAR,2603,18900000.0
2026 PLAN (2),2026,APR,2604,18550000.0
2026 PLAN (2),2026,MAY,2605,20900000.0
2026 PLAN (2),2026,JUN,2606,19220000.0
2026 PLAN (2),2026,JUL,2607,22500000.0
2026 PLAN (2),2026,AUG,2608,25050000.0
2026 PLAN (2),2026,SEP,2609,15400000.0
2026 PLAN (2),2026,OCT,2610,22780000.0
2026 PLAN (2),2026,NOV,2611,24050000.0
2026 PLAN (2),2026,DEC,2612,34450000.0
