sheet_name,plan_year,month_name,month_code,category,category_key,category_label_ko,category_label_en,target_mode,target_sold_amt,target_sold_gross,target_discount_rate
2026 PLAN (2),2026,JAN,2601,WEAR,wear,의류,Wear,monthly,3628230.61,6583015.0,0.448849712479768
2026 PLAN (2),2026,JAN,2601,WEAR,wear,의류,Wear,cumulative,3628230.61,6583015.0,0.448849712479768
2026 PLAN (2),2026,JAN,2601,ACCESSORY,accessory,악세,Accessory,monthly,631096.38,1197007.0,0.47277135388514857
2026 PLAN (2),2026,JAN,2601,ACCESSORY,accessory,악세,Accessory,cumulative,631096.38,1197007.0,0.47277135388514857
2026 PLAN (2),2026,JAN,2601,TOTAL,all,전체,Total,monthly,4259326.99,7780022.0,0.45253021263950155
2026 PLAN (2),2026,JAN,2601,TOTAL,all,전체,Total,cumulative,4259326.99,7780022.0,0.45253021263950155
2026 PLAN (2),2026,FEB,2602,WEAR,wear,의류,Wear,monthly,2770991.8099999996,5148403.0,0.4617764363046173
2026 PLAN (2),2026,FEB,2602,WEAR,wear,의류,Wear,cumulative,6399222.42,11731418.0,0.4545226825947213
2026 PLAN (2),2026,FEB,2602,ACCESSORY,accessory,악세,Accessory,monthly,376977.36999999994,731624.0,0.48473892327206336
2026 PLAN (2),2026,FEB,2602,ACCESSORY,accessory,악세,Accessory,cumulative,1008073.75,1928631.0,0.4773112378676896
2026 PLAN (2),2026,FEB,2602,TOTAL,all,전체,Total,monthly,3147969.1799999997,5880027.0,0.46463355015206564
2026 PLAN (2),2026,FEB,2602,TOTAL,all,전체,Total,cumulative,7407296.17,13660049.0,0.4577401464665317
2026 PLAN (2),2026,MAR,2603,WEAR,wear,의류,Wear,monthly,1833300.0,2829000.0,0.3519618239660658
2026 PLAN (2),2026,MAR,2603,WEAR,wear,의류,Wear,cumulative,1833300.0,2829000.0,0.3519618239660658
2026 PLAN (2),2026,MAR,2603,ACCESSORY,accessory,악세,Accessory,monthly,113400.0,140253.39366515836,0.1914634146341463
2026 PLAN (2),2026,MAR,2603,ACCESSORY,accessory,악세,Accessory,cumulative,113400.0,140253.39366515836,0.1914634146341463
2026 PLAN (2),2026,MAR,2603,TOTAL,all,전체,Total,monthly,1946700.0,2969253.393665158,0.3443806432441081
2026 PLAN (2),2026,MAR,2603,TOTAL,all,전체,Total,cumulative,1946700.0,2969253.393665158,0.3443806432441081
2026 PLAN (2),2026,APR,2604,WEAR,wear,의류,Wear,monthly,2281650.0,3758984.848484848,0.39301431318094415
2026 PLAN (2),2026,APR,2604,WEAR,wear,의류,Wear,cumulative,4114950.0,6587984.848484848,0.3753856308661083
2026 PLAN (2),2026,APR,2604,ACCESSORY,accessory,악세,Accessory,monthly,129850.0,201867.64705882352,0.3567567567567568
2026 PLAN (2),2026,APR,2604,ACCESSORY,accessory,악세,Accessory,cumulative,243250.0,342121.0407239819,0.2889943293600278
2026 PLAN (2),2026,APR,2604,TOTAL,all,전체,Total,monthly,2411500.0,3960852.495543672,0.39116642119009426
2026 PLAN (2),2026,APR,2604,TOTAL,all,전체,Total,cumulative,4358200.0,6930105.88920883,0.3711207202784097
2026 PLAN (2),2026,MAY,2605,WEAR,wear,의류,Wear,monthly,2487100.0,4162809.523809524,0.4025429254509889
2026 PLAN (2),2026,MAY,2605,WEAR,wear,의류,Wear,cumulative,6602050.0,10750794.372294372,0.3859011928445034
2026 PLAN (2),2026,MAY,2605,ACCESSORY,accessory,악세,Accessory,monthly,125400.0,202852.94117647057,0.3818181818181817
2026 PLAN (2),2026,MAY,2605,ACCESSORY,accessory,악세,Accessory,cumulative,368650.0,544973.9819004525,0.32354568797132166
2026 PLAN (2),2026,MAY,2605,TOTAL,all,전체,Total,monthly,2612500.0,4365662.464985995,0.4015799386798491
2026 PLAN (2),2026,MAY,2605,TOTAL,all,전체,Total,cumulative,6970700.0,11295768.354194824,0.38289279830961265
2026 PLAN (2),2026,JUN,2606,WEAR,wear,의류,Wear,monthly,2287180.0,3990234.708994709,0.4268056475865233
2026 PLAN (2),2026,JUN,2606,WEAR,wear,의류,Wear,cumulative,8889230.0,14741029.08128908,0.39697357959335566
2026 PLAN (2),2026,JUN,2606,ACCESSORY,accessory,악세,Accessory,monthly,115320.0,203381.28274616078,0.4329861703943998
2026 PLAN (2),2026,JUN,2606,ACCESSORY,accessory,악세,Accessory,cumulative,483970.0,748355.2646466133,0.3532884408469562
2026 PLAN (2),2026,JUN,2606,TOTAL,all,전체,Total,monthly,2402500.0,4193615.99174087,0.42710538954171984
2026 PLAN (2),2026,JUN,2606,TOTAL,all,전체,Total,cumulative,9373200.0,15489384.345935693,0.39486297255839853
2026 PLAN (2),2026,JUL,2607,WEAR,wear,의류,Wear,monthly,2497500.0,4810714.285714286,0.48084632516703796
2026 PLAN (2),2026,JUL,2607,WEAR,wear,의류,Wear,cumulative,11386730.0,19551743.367003366,0.41761050223189344
2026 PLAN (2),2026,JUL,2607,ACCESSORY,accessory,악세,Accessory,monthly,157500.0,299756.0975609756,0.4745728234336859
2026 PLAN (2),2026,JUL,2607,ACCESSORY,accessory,악세,Accessory,cumulative,641470.0,1048111.3622075889,0.387975340092773
2026 PLAN (2),2026,JUL,2607,TOTAL,all,전체,Total,monthly,2655000.0,5110470.383275262,0.4804783511340045
2026 PLAN (2),2026,JUL,2607,TOTAL,all,전체,Total,cumulative,12028200.0,20599854.729210954,0.4161026784842419
2026 PLAN (2),2026,AUG,2608,WEAR,wear,의류,Wear,monthly,2580150.0,4920933.333333334,0.4756787330316743
2026 PLAN (2),2026,AUG,2608,WEAR,wear,의류,Wear,cumulative,13966880.0,24472676.700336702,0.4292867849715908
2026 PLAN (2),2026,AUG,2608,ACCESSORY,accessory,악세,Accessory,monthly,175350.0,333728.4552845529,0.474572823433686
2026 PLAN (2),2026,AUG,2608,ACCESSORY,accessory,악세,Accessory,cumulative,816820.0,1381839.8174921419,0.40888951840856547
2026 PLAN (2),2026,AUG,2608,TOTAL,all,전체,Total,monthly,2755500.0,5254661.788617887,0.47560849568497754
2026 PLAN (2),2026,AUG,2608,TOTAL,all,전체,Total,cumulative,14783700.0,25854516.51782884,0.428196617414779
2026 PLAN (2),2026,SEP,2609,WEAR,wear,의류,Wear,monthly,154000.0,332500.0,0.5368421052631579
2026 PLAN (2),2026,SEP,2609,WEAR,wear,의류,Wear,cumulative,154000.0,332500.0,0.5368421052631579
2026 PLAN (2),2026,SEP,2609,ACCESSORY,accessory,악세,Accessory,monthly,30800.0,62192.30769230769,0.5047619047619047
2026 PLAN (2),2026,SEP,2609,ACCESSORY,accessory,악세,Accessory,cumulative,30800.0,62192.30769230769,0.5047619047619047
2026 PLAN (2),2026,SEP,2609,TOTAL,all,전체,Total,monthly,184800.0,394692.3076923077,0.531787175989086
2026 PLAN (2),2026,SEP,2609,TOTAL,all,전체,Total,cumulative,184800.0,394692.3076923077,0.531787175989086
2026 PLAN (2),2026,OCT,2610,WEAR,wear,의류,Wear,monthly,1549040.0,2251677.455877456,0.31205066873294474
