SALE_DT,LOCAL_SHOP_CD,SALES_AMT,Holiday,Holiday Name
2023-01-01,M01,159381,o,The first day of January
2023-01-01,M02,88834,o,The first day of January
2023-01-01,M05,166645,o,The first day of January
2023-01-01,M07,108354,o,The first day of January
2023-01-01,M08,62391,o,The first day of January
2023-01-01,M09,47932,o,The first day of January
2023-01-01,M10,71039,o,The first day of January
2023-01-01,M11,90414,o,The first day of January
2023-01-01,M13,56434,o,The first day of January
2023-01-01,M14,85782,o,The first day of January
2023-01-01,M15,37468,o,The first day of January
2023-01-01,MC1,172440.778,o,The first day of January
2023-01-01,MC2,37281.551,o,The first day of January
2023-01-01,MC3,98560.188,o,The first day of January
2023-01-02,M01,132774,o,Day following Jan 1
2023-01-02,M02,60745,o,Day following Jan 1
2023-01-02,M05,108480,o,Day following Jan 1
2023-01-02,M07,86366,o,Day following Jan 1
2023-01-02,M08,43005.5,o,Day following Jan 1
2023-01-02,M09,46756,o,Day following Jan 1
2023-01-02,M10,55114.5,o,Day following Jan 1
2023-01-02,M11,99383,o,Day following Jan 1
2023-01-02,M13,54007,o,Day following Jan 1
2023-01-02,M14,78836,o,Day following Jan 1
2023-01-02,M15,46128,o,Day following Jan 1
2023-01-02,MC1,142908.729,o,Day following Jan 1
2023-01-02,MC2,45872.814,o,Day following Jan 1
2023-01-02,MC3,82131.069,o,Day following Jan 1
2023-01-03,HE1,7220.29,,
2023-01-03,HE2,71526.46,,
2023-01-03,M01,84714,,
2023-01-03,M02,59866,,
2023-01-03,M05,57721,,
2023-01-03,M07,41147,,
2023-01-03,M08,23292.5,,
2023-01-03,M09,29975,,
2023-01-03,M10,39816,,
2023-01-03,M11,53217,,
2023-01-03,M13,23157,,
2023-01-03,M14,41791,,
2023-01-03,M15,16439,,
2023-01-03,MC1,119985.433,,
2023-01-03,MC2,37683.492,,
2023-01-03,MC3,77249.509,,
2023-01-04,HE1,3417.42,,
2023-01-04,HE2,10033.39,,
2023-01-04,M01,84219,,
2023-01-04,M02,40891,,
2023-01-04,M05,53439,,
2023-01-04,M07,45072,,
2023-01-04,M08,20822,,
2023-01-04,M09,14954,,
2023-01-04,M10,53922,,
2023-01-04,M11,39777,,
2023-01-04,M13,20025,,
2023-01-04,M14,30818,,
2023-01-04,M15,28117,,
2023-01-04,MC1,105744.66,,
2023-01-04,MC2,42408.739,,
2023-01-04,MC3,72210.68,,
2023-01-05,HE1,2277.58,,
2023-01-05,HE2,9516.67,,
2023-01-05,M01,115425,,
2023-01-05,M02,45726,,
2023-01-05,M05,55987,,
2023-01-05,M07,41283,,
2023-01-05,M08,20733,,
2023-01-05,M09,26151,,
2023-01-05,M10,50901,,
2023-01-05,M11,42385,,
2023-01-05,M13,21040,,
2023-01-05,M14,47541,,
2023-01-05,M15,27558,,
2023-01-05,MC1,114113.586,,
2023-01-05,MC2,46528.161,,
2023-01-05,MC3,71015.531,,
2023-01-06,HE1,1657,,
2023-01-06,HE2,15396.8,,
2023-01-06,M01,79253.6,,
2023-01-06,M02,69588,,
2023-01-06,M05,69582,,
2023-01-06,M07,55958,,
2023-01-06,M08,36977,,
2023-01-06,M09,29498,,
2023-01-06,M10,49356,,
2023-01-06,M11,50726.5,,
2023-01-06,M13,22617,,
2023-01-06,M14,63536.5,,
2023-01-06,M15,29061,,
2023-01-06,MC1,130604.841,,
2023-01-06,MC2,29953.4,,
2023-01-06,MC3,73620.387,,
2023-01-07,M01,147025,,
2023-01-07,M02,84852,,
2023-01-07,M05,98497,,
2023-01-07,M07,99787,,
2023-01-07,M08,39609,,
2023-01-07,M09,32420,,
2023-01-07,M10,62768,,
2023-01-07,M11,91633,,
2023-01-07,M13,41909,,
2023-01-07,M14,70547,,
2023-01-07,M15,28423,,
2023-01-07,MC1,149884.467,,
2023-01-07,MC2,55888.346,,
2023-01-07,MC3,89550.476,,
2023-01-08,M01,181675.5,,
2023-01-08,M02,93711.5,,
2023-01-08,M05,148551,,
2023-01-08,M07,122532,,
2023-01-08,M08,55857,,
2023-01-08,M09,75742,,
2023-01-08,M10,80407,,
2023-01-08,M11,100895,,
2023-01-08,M13,54182,,
2023-01-08,M14,73512,,
2023-01-08,M15,42811,,
2023-01-08,MC1,187782.515,,
2023-01-08,MC2,70833.974,,
2023-01-08,MC3,99143.688,,
2023-01-09,M01,114765.5,,
2023-01-09,M02,41920,,
2023-01-09,M05,64307,,
2023-01-09,M07,68289,,
2023-01-09,M08,35392,,
2023-01-09,M09,43523,,
2023-01-09,M10,63144.5,,
2023-01-09,M11,58525.5,,
2023-01-09,M13,26758,,
2023-01-09,M14,38762,,
2023-01-09,M15,20347,,
2023-01-09,MC1,171176.686,,
2023-01-09,MC2,35039.8,,
2023-01-09,MC3,93881.548,,
2023-01-10,M01,105476,,
2023-01-10,M02,52329,,
2023-01-10,M05,45376,,
2023-01-10,M07,59268,,
2023-01-10,M08,22507.5,,
2023-01-10,M09,23332,,
2023-01-10,M10,34029,,
2023-01-10,M11,48435.5,,
2023-01-10,M13,18816,,
2023-01-10,M14,41639,,
2023-01-10,M15,31308,,
2023-01-10,MC1,210485.431,,
2023-01-10,MC2,96481.548,,
2023-01-10,MC3,57975.725,,
2023-01-11,HE1,-22773.05,,
2023-01-11,HE2,68072.27,,
2023-01-11,M01,113964,,
2023-01-11,M02,59796,,
2023-01-11,M05,63565,,
2023-01-11,M07,54793,,
2023-01-11,M08,32584,,
2023-01-11,M09,37230,,
2023-01-11,M10,69029,,
2023-01-11,M11,59088,,
2023-01-11,M12,8731.5,,
2023-01-11,M13,30631,,
2023-01-11,M14,48028,,
2023-01-11,M15,25123,,
2023-01-11,MC1,218524.26,,
2023-01-11,MC2,58409.71,,
2023-01-11,MC3,149062.619,,
2023-01-12,HE1,379,,
2023-01-12,HE2,16463.83,,
2023-01-12,M01,107003,,
2023-01-12,M02,77242,,
2023-01-12,M05,68376,,
2023-01-12,M07,47465,,
2023-01-12,M08,49401.5,,
2023-01-12,M09,53493,,
2023-01-12,M10,50648,,
2023-01-12,M11,63157,,
2023-01-12,M12,5201.5,,
2023-01-12,M13,31729,,
2023-01-12,M14,49655,,
2023-01-12,M15,27391,,
2023-01-12,MC1,204233.965,,
2023-01-12,MC2,72629.123,,
2023-01-12,MC3,89058.25,,
2023-01-13,HE2,15493.77,,
2023-01-13,M01,114352,,
2023-01-13,M02,58829,,
2023-01-13,M05,80084.5,,
2023-01-13,M07,70154,,
2023-01-13,M08,30454,,
2023-01-13,M09,51168,,
2023-01-13,M10,42628,,
2023-01-13,M11,71806,,
2023-01-13,M12,9325,,
2023-01-13,M13,31311,,
2023-01-13,M14,58453,,
2023-01-13,M15,22443,,
2023-01-13,MC1,202347.564,,
2023-01-13,MC2,105145.631,,
2023-01-13,MC3,60527.185,,
2023-01-14,M01,156049,,
2023-01-14,M02,88518,,
2023-01-14,M05,114510,,
2023-01-14,M07,103737,,
2023-01-14,M08,44252,,
2023-01-14,M09,49481,,
2023-01-14,M10,92178,,
2023-01-14,M11,87377,,
2023-01-14,M12,8217,,
2023-01-14,M13,58361.5,,
2023-01-14,M14,65678,,
2023-01-14,M15,39216,,
2023-01-14,MC1,236483.466,,
2023-01-14,MC2,127584.46,,
2023-01-14,MC3,141642.71,,
2023-01-15,M01,211513,,
2023-01-15,M02,93946,,
2023-01-15,M05,154799.5,,
2023-01-15,M07,154096,,
2023-01-15,M08,54923,,
2023-01-15,M09,84628.5,,
2023-01-15,M10,67149.5,,
2023-01-15,M11,142568,,
2023-01-15,M12,12192,,
2023-01-15,M13,82511,,
2023-01-15,M14,118398,,
2023-01-15,M15,55663,,
2023-01-15,MC1,237872.808,,
2023-01-15,MC2,132087.376,,
2023-01-15,MC3,175325.728,,
2023-01-16,HE1,1047,,
2023-01-16,HE2,54138.8,,
2023-01-16,M01,182482,,
2023-01-16,M02,52771,,
2023-01-16,M05,98959.5,,
2023-01-16,M07,71931,,
2023-01-16,M08,42537,,
2023-01-16,M09,85257.5,,
2023-01-16,M10,66176.5,,
2023-01-16,M11,101310,,
2023-01-16,M12,4901,,
2023-01-16,M13,59558,,
2023-01-16,M14,81140,,
2023-01-16,M15,40963,,
2023-01-16,MC1,243188.341,,
2023-01-16,MC2,94535.916,,
2023-01-16,MC3,135574.755,,
2023-01-17,HE1,379,,
2023-01-17,HE2,15419.45,,
2023-01-17,M01,137567.5,,
2023-01-17,M02,67139,,
2023-01-17,M05,81478,,
2023-01-17,M07,76025,,
2023-01-17,M08,45013.5,,
2023-01-17,M09,59192,,
2023-01-17,M10,72574,,
2023-01-17,M11,94830,,
2023-01-17,M12,16401.5,,
2023-01-17,M13,60079,,
2023-01-17,M14,86304,,
2023-01-17,M15,43924,,
2023-01-17,MC1,248523.281,,
2023-01-17,MC2,107632.036,,
2023-01-17,MC3,147809.706,,
2023-01-18,HE1,417.45,,
2023-01-18,HE2,6616.2,,
2023-01-18,M01,204979.5,,
2023-01-18,M02,69368,,
2023-01-18,M05,124971,,
2023-01-18,M07,62199,,
2023-01-18,M08,38301.5,,
2023-01-18,M09,72327,,
2023-01-18,M10,38219.5,,
2023-01-18,M11,97223.5,,
2023-01-18,M12,13260,,
2023-01-18,M13,43226,,
2023-01-18,M14,88262,,
2023-01-18,M15,42226,,
2023-01-18,MC1,211098.046,,
2023-01-18,MC2,85109.706,,
2023-01-18,MC3,147990.289,,
2023-01-19,M01,158819,,
2023-01-19,M02,159685,,
2023-01-19,M05,110918,,
2023-01-19,M07,90367,,
2023-01-19,M08,47970.5,,
2023-01-19,M09,97685,,
2023-01-19,M10,69793,,
2023-01-19,M11,125292,,
2023-01-19,M12,12933,,
2023-01-19,M13,60769.5,,
2023-01-19,M14,83601,,
2023-01-19,M15,60497,,
2023-01-19,MC1,193336.879,,
2023-01-19,MC2,100087.37,,
2023-01-19,MC3,124737.379,,
2023-01-20,M01,222721.5,,
2023-01-20,M02,96384,,
2023-01-20,M05,134359,,
2023-01-20,M07,104691,,
2023-01-20,M08,79947.5,,
2023-01-20,M09,99238.5,,
2023-01-20,M10,96122,,
2023-01-20,M11,126121.5,,
2023-01-20,M12,27806,,
2023-01-20,M13,73600,,
2023-01-20,M14,121215,,
2023-01-20,M15,68156,,
2023-01-20,M16,0,,
2023-01-20,MC1,176236.89,,
2023-01-20,MC2,58538.832,,
2023-01-20,MC3,128721.361,,
2023-01-21,M01,204721,,
2023-01-21,M02,90274,,
2023-01-21,M05,110807,,
2023-01-21,M07,116204,,
2023-01-21,M08,95055,,
2023-01-21,M09,111253,,
2023-01-21,M10,97033.5,,
2023-01-21,M11,177983,,
2023-01-21,M12,16817.5,,
2023-01-21,M13,117793.5,,
2023-01-21,M14,102778,,
2023-01-21,M15,91474,,
2023-01-21,M16,46986,,
2023-01-21,MC1,221229.11,,
2023-01-21,MC2,81601.454,,
2023-01-21,MC3,118780.579,,
2023-01-22,M01,77401.5,,
2023-01-22,M02,25427,,
2023-01-22,M05,65792,,
2023-01-22,M07,95441,,
2023-01-22,M08,30258,,
2023-01-22,M09,30418.5,,
2023-01-22,M10,45073,,
2023-01-22,M11,46054,,
2023-01-22,M12,5172.5,,
2023-01-22,M13,41409,,
2023-01-22,M14,50984,,
2023-01-22,M15,35107,,
2023-01-22,M16,11082,,
2023-01-22,MC1,176935.908,,
2023-01-22,MC2,68884.472,,
2023-01-22,MC3,64577.671,,
2023-01-23,M01,93139,o,2nd day of Lunar New Year
2023-01-23,M02,51260,o,2nd day of Lunar New Year
2023-01-23,M05,80188,o,2nd day of Lunar New Year
2023-01-23,M07,118487,o,2nd day of Lunar New Year
2023-01-23,M08,21891,o,2nd day of Lunar New Year
2023-01-23,M09,19719.5,o,2nd day of Lunar New Year
2023-01-23,M10,64600,o,2nd day of Lunar New Year
2023-01-23,M11,51330,o,2nd day of Lunar New Year
2023-01-23,M12,13356,o,2nd day of Lunar New Year
2023-01-23,M13,30237,o,2nd day of Lunar New Year
2023-01-23,M14,45922,o,2nd day of Lunar New Year
2023-01-23,M15,37700,o,2nd day of Lunar New Year
2023-01-23,M16,31616,o,2nd day of Lunar New Year
2023-01-23,MC1,247539.797,o,2nd day of Lunar New Year
2023-01-23,MC2,91131.064,o,2nd day of Lunar New Year
2023-01-23,MC3,85297.564,o,2nd day of Lunar New Year
2023-01-24,M01,56661,o,3rd day of Lunar New Year
2023-01-24,M02,48737.5,o,3rd day of Lunar New Year
2023-01-24,M05,107722,o,3rd day of Lunar New Year
2023-01-24,M07,152164,o,3rd day of Lunar New Year
2023-01-24,M08,35360,o,3rd day of Lunar New Year
2023-01-24,M09,20605,o,3rd day of Lunar New Year
2023-01-24,M10,70139,o,3rd day of Lunar New Year
2023-01-24,M11,64995,o,3rd day of Lunar New Year
2023-01-24,M12,2577,o,3rd day of Lunar New Year
2023-01-24,M13,27294,o,3rd day of Lunar New Year
2023-01-24,M14,55622,o,3rd day of Lunar New Year
2023-01-24,M15,20619,o,3rd day of Lunar New Year
2023-01-24,M16,31940,o,3rd day of Lunar New Year
2023-01-24,MC1,257820.368,o,3rd day of Lunar New Year
2023-01-24,MC2,116031.068,o,3rd day of Lunar New Year
2023-01-24,MC3,117329.116,o,3rd day of Lunar New Year
2023-01-25,M01,108895,o,4th day of Lunar New Year (substitute)
2023-01-25,M02,59172.5,o,4th day of Lunar New Year (substitute)
2023-01-25,M05,84161,o,4th day of Lunar New Year (substitute)
2023-01-25,M07,137596,o,4th day of Lunar New Year (substitute)
2023-01-25,M08,42258,o,4th day of Lunar New Year (substitute)
2023-01-25,M09,33595,o,4th day of Lunar New Year (substitute)
2023-01-25,M10,87106.5,o,4th day of Lunar New Year (substitute)
2023-01-25,M11,66860,o,4th day of Lunar New Year (substitute)
2023-01-25,M12,19159,o,4th day of Lunar New Year (substitute)
2023-01-25,M13,26630,o,4th day of Lunar New Year (substitute)
2023-01-25,M14,64390,o,4th day of Lunar New Year (substitute)
2023-01-25,M15,24131,o,4th day of Lunar New Year (substitute)
2023-01-25,M16,23007,o,4th day of Lunar New Year (substitute)
2023-01-25,MC1,274837.841,o,4th day of Lunar New Year (substitute)
2023-01-25,MC2,144576.7,o,4th day of Lunar New Year (substitute)
2023-01-25,MC3,120787.373,o,4th day of Lunar New Year (substitute)
2023-01-26,HE1,7622.76,,
2023-01-26,HE2,37555.4,,
2023-01-26,M01,94486,,
2023-01-26,M02,47916,,
2023-01-26,M05,78786,,
2023-01-26,M07,123044,,
2023-01-26,M08,27889,,
2023-01-26,M09,24903,,
2023-01-26,M10,70313,,
2023-01-26,M11,37343,,
2023-01-26,M12,9169,,
2023-01-26,M13,17856,,
2023-01-26,M14,40256,,
2023-01-26,M15,17367,,
2023-01-26,M16,23255,,
2023-01-26,MC1,360391.241,,
2023-01-26,MC2,119827.18,,
2023-01-26,MC3,87615.533,,
2023-01-27,HE1,4045.24,,
2023-01-27,HE2,54174.57,,
2023-01-27,M01,61106,,
2023-01-27,M02,48499,,
2023-01-27,M05,70453.5,,
2023-01-27,M07,78616,,
2023-01-27,M08,23321,,
2023-01-27,M09,35496,,
2023-01-27,M10,72105,,
2023-01-27,M11,60930.5,,
2023-01-27,M12,5484,,
2023-01-27,M13,32800,,
2023-01-27,M14,34437.5,,
2023-01-27,M15,25543,,
2023-01-27,M16,20726,,
2023-01-27,MC1,289378.622,,
2023-01-27,MC2,114160.192,,
2023-01-27,MC3,106572.816,,
2023-01-28,M01,84266,,
2023-01-28,M02,71340,,
2023-01-28,M05,122928,,
2023-01-28,M07,93262,,
2023-01-28,M08,27901,,
2023-01-28,M09,22799,,
2023-01-28,M10,80815,,
2023-01-28,M11,59560,,
2023-01-28,M12,9505,,
2023-01-28,M13,25193,,
2023-01-28,M14,31591,,
2023-01-28,M15,34203,,
2023-01-28,M16,27339,,
2023-01-28,MC1,224699.985,,
2023-01-28,MC2,105611.649,,
2023-01-28,MC3,114968.932,,
2023-01-29,M01,98394,,
2023-01-29,M02,91722.5,,
2023-01-29,M05,80565,,
2023-01-29,M07,77950,,
2023-01-29,M08,39800,,
2023-01-29,M09,24001.5,,
2023-01-29,M10,85742.5,,
2023-01-29,M11,50109,,
2023-01-29,M12,4412,,
2023-01-29,M13,21168,,
2023-01-29,M14,63059,,
2023-01-29,M15,31493,,
2023-01-29,M16,29486,,
2023-01-29,MC1,244526.196,,
2023-01-29,MC2,116648.542,,
2023-01-29,MC3,91406.795,,
2023-01-30,HE1,-13049.89,,
2023-01-30,HE2,31064.44,,
2023-01-30,M01,83515,,
2023-01-30,M02,43257,,
2023-01-30,M05,61631,,
2023-01-30,M07,75517,,
2023-01-30,M08,29084,,
2023-01-30,M09,15812,,
2023-01-30,M10,43095,,
2023-01-30,M11,32502.5,,
2023-01-30,M12,6114,,
2023-01-30,M13,16538.5,,
2023-01-30,M14,29300,,
2023-01-30,M15,14469,,
2023-01-30,M16,25891,,
2023-01-30,MC1,201222.32,,
2023-01-30,MC2,90027.667,,
2023-01-30,MC3,91902.914,,
2023-01-31,HE1,578,,
2023-01-31,HE2,17296.28,,
2023-01-31,M01,55399,,
2023-01-31,M02,45274.5,,
2023-01-31,M05,61696,,
2023-01-31,M07,35786,,
2023-01-31,M08,33734,,
2023-01-31,M09,12823,,
2023-01-31,M10,39862,,
2023-01-31,M11,44741.5,,
2023-01-31,M12,9270,,
2023-01-31,M13,16343.5,,
2023-01-31,M14,32927,,
2023-01-31,M15,16787,,
2023-01-31,M16,15132,,
2023-01-31,MC1,143636.88,,
2023-01-31,MC2,78267.956,,
2023-01-31,MC3,91619.903,,
2023-02-01,HE1,1287,,
2023-02-01,HE2,27473.34,,
2023-02-01,M01,91937.5,,
2023-02-01,M02,25526,,
2023-02-01,M05,40892,,
2023-02-01,M07,41926,,
2023-02-01,M08,19206,,
2023-02-01,M09,24372.5,,
2023-02-01,M10,43919,,
2023-02-01,M11,43898,,
2023-02-01,M12,12372,,
2023-02-01,M13,14815.5,,
2023-02-01,M14,33924,,
2023-02-01,M15,17187,,
2023-02-01,M16,25078,,
2023-02-01,MC1,183115.524,,
2023-02-01,MC2,85830.097,,
2023-02-01,MC3,85484.952,,
2023-02-02,HE1,3501.68,,
2023-02-02,HE2,4295.6,,
2023-02-02,M01,57647,,
2023-02-02,M02,55586,,
2023-02-02,M05,55097,,
2023-02-02,M07,42644,,
2023-02-02,M08,21499,,
2023-02-02,M09,22041,,
2023-02-02,M10,40723,,
2023-02-02,M11,44061.5,,
2023-02-02,M12,4801,,
2023-02-02,M13,20556,,
2023-02-02,M14,46954,,
2023-02-02,M15,16452,,
2023-02-02,M16,24707,,
2023-02-02,MC1,187241.729,,
2023-02-02,MC2,63000.97,,
2023-02-02,MC3,86878.154,,
2023-02-03,HE1,877,,
2023-02-03,HE2,-1205.25,,
2023-02-03,M01,80669.5,,
2023-02-03,M02,45169,,
2023-02-03,M05,60284,,
2023-02-03,M07,48520,,
2023-02-03,M08,15602,,
2023-02-03,M09,29459,,
2023-02-03,M10,53080,,
2023-02-03,M11,42415,,
2023-02-03,M12,4416,,
2023-02-03,M13,14953,,
2023-02-03,M14,21011,,
2023-02-03,M15,13361,,
2023-02-03,M16,21911,,
2023-02-03,MC1,132742.713,,
2023-02-03,MC2,54151.452,,
2023-02-03,MC3,86756.309,,
2023-02-04,M01,85372,,
2023-02-04,M02,66684,,
2023-02-04,M05,88600,,
2023-02-04,M07,82468,,
2023-02-04,M08,30276,,
2023-02-04,M09,21936,,
2023-02-04,M10,60117.5,,
2023-02-04,M11,44235,,
2023-02-04,M12,7070,,
2023-02-04,M13,15138,,
2023-02-04,M14,36889,,
2023-02-04,M15,31026,,
2023-02-04,M16,39122,,
2023-02-04,MC1,132725.236,,
2023-02-04,MC2,66041.739,,
2023-02-04,MC3,78904.852,,
2023-02-05,M01,85166.5,,
2023-02-05,M02,112038,,
2023-02-05,M05,102448,,
2023-02-05,M07,99597,,
2023-02-05,M08,24013,,
2023-02-05,M09,24353,,
2023-02-05,M10,62874.5,,
2023-02-05,M11,48526,,
2023-02-05,M12,9628,,
2023-02-05,M13,24540,,
2023-02-05,M14,33010,,
2023-02-05,M15,26124,,
2023-02-05,M16,26351.5,,
2023-02-05,MC1,123813.583,,
2023-02-05,MC2,46201.46,,
2023-02-05,MC3,54051.452,,
2023-02-06,HE1,299,,
2023-02-06,HE2,39207.21,,
2023-02-06,M01,50311,,
2023-02-06,M02,58276,,
2023-02-06,M05,71756,,
2023-02-06,M07,36804,,
2023-02-06,M08,27381,,
2023-02-06,M09,19073,,
2023-02-06,M10,30687,,
2023-02-06,M11,27774,,
2023-02-06,M12,14205.5,,
2023-02-06,M13,12323.5,,
2023-02-06,M14,30971,,
2023-02-06,M15,13108,,
2023-02-06,M16,24302,,
2023-02-06,MC1,118451.446,,
2023-02-06,MC2,39306.792,,
2023-02-06,MC3,76269.902,,
2023-02-07,HE1,279,,
2023-02-07,HE2,8303.13,,
2023-02-07,M01,92458.5,,
2023-02-07,M02,58005,,
2023-02-07,M05,79657,,
2023-02-07,M07,51314,,
2023-02-07,M08,24409,,
2023-02-07,M09,23156,,
2023-02-07,M10,74870,,
2023-02-07,M11,44700,,
2023-02-07,M12,5812,,
2023-02-07,M13,10349.5,,
2023-02-07,M14,30523,,
2023-02-07,M15,11148,,
2023-02-07,M16,14423,,
2023-02-07,MC1,90366.988,,
2023-02-07,MC2,32089.32,,
2023-02-07,MC3,63904.853,,
2023-02-08,HE1,866.99,,
2023-02-08,HE2,18328.4,,
2023-02-08,M01,67795,,
2023-02-08,M02,101269,,
2023-02-08,M05,117411,,
2023-02-08,M07,64024,,
2023-02-08,M08,17122,,
2023-02-08,M09,13166,,
2023-02-08,M10,56763,,
2023-02-08,M11,33564,,
2023-02-08,M12,5883,,
2023-02-08,M13,11710,,
2023-02-08,M14,37571,,
2023-02-08,M15,15793,,
2023-02-08,M16,16796,,
2023-02-08,MC1,92951.448,,
2023-02-08,MC2,35124.27,,
2023-02-08,MC3,81098.059,,
2023-02-09,HE1,598.44,,
2023-02-09,HE2,5731,,
2023-02-09,M01,76329,,
2023-02-09,M02,39001,,
2023-02-09,M05,31212.5,,
2023-02-09,M07,63365,,
2023-02-09,M08,24978,,
2023-02-09,M09,24218,,
2023-02-09,M10,55911,,
2023-02-09,M11,37753,,
