DATE,weight,month,dow,is_weekend,is_holiday,dom_bucket,weight_method
2026-01-01,0.6863896723450531,1,3,0,1,1_10,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-02,0.692528307372712,1,4,0,0,1_10,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-03,0.8320182222263851,1,5,1,0,1_10,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-04,0.8950872293343254,1,6,1,0,1_10,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-05,0.7034696201169376,1,0,0,0,1_10,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-06,0.7311674408480372,1,1,0,0,1_10,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-07,0.7071657600303324,1,2,0,0,1_10,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-08,0.6863896723450531,1,3,0,0,1_10,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-09,0.692528307372712,1,4,0,0,1_10,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-10,0.8320182222263851,1,5,1,0,1_10,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-11,1.2852611565785155,1,6,1,0,11_20,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-12,0.8905088945653631,1,0,0,0,11_20,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-13,0.7853466368756211,1,1,0,0,11_20,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-14,0.8023670414901842,1,2,0,0,11_20,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-15,0.8114459172900808,1,3,0,0,11_20,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-16,0.8210562604631272,1,4,0,0,11_20,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-17,1.0409739147335495,1,5,1,0,11_20,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-18,1.2852611565785155,1,6,1,0,11_20,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-19,0.8905088945653631,1,0,0,0,11_20,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-20,0.7853466368756211,1,1,0,0,11_20,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-21,1.1183766850373706,1,2,0,0,21_EOM,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-22,1.209529339077696,1,3,0,0,21_EOM,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-23,1.2134992286471762,1,4,0,0,21_EOM,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-24,1.5020129333406365,1,5,1,0,21_EOM,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-25,1.6106050181999103,1,6,1,0,21_EOM,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-26,1.2653313485433506,1,0,0,0,21_EOM,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-27,1.180388296817107,1,1,0,0,21_EOM,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-28,1.1183766850373706,1,2,0,0,21_EOM,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-29,1.209529339077696,1,3,0,0,21_EOM,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-30,1.2134992286471762,1,4,0,0,21_EOM,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-01-31,1.5020129333406365,1,5,1,0,21_EOM,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-01,1.4497735766787097,2,6,1,0,1_10,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-02,1.2039724808226264,2,0,0,0,1_10,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-03,1.3952012211553109,2,1,0,0,1_10,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-04,1.3941907556913484,2,2,0,0,1_10,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-05,1.5686621081314378,2,3,0,0,1_10,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-06,1.4564977990950974,2,4,0,0,1_10,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-07,1.3369910815608794,2,5,1,0,1_10,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-08,1.4497735766787097,2,6,1,0,1_10,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-09,1.2039724808226264,2,0,0,0,1_10,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-10,1.3952012211553109,2,1,0,0,1_10,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-11,0.8127870484722414,2,2,0,0,11_20,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-12,0.870355741701319,2,3,0,0,11_20,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-13,0.9638331045519836,2,4,0,0,11_20,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-14,0.8169037455975381,2,5,1,0,11_20,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-15,0.9336734735475521,2,6,1,0,11_20,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-16,0.6499805817309993,2,0,0,0,11_20,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-17,1.5207575500328436,2,1,0,1,11_20,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-18,0.8127870484722414,2,2,0,1,11_20,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-19,0.870355741701319,2,3,0,1,11_20,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-20,0.9638331045519836,2,4,0,0,11_20,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-21,0.6953117259676777,2,5,1,0,21_EOM,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-22,0.7609348329263073,2,6,1,0,21_EOM,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-23,0.49464485092948685,2,0,0,0,21_EOM,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-24,0.5427930370745265,2,1,0,0,21_EOM,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
2026-02-25,0.5963848537436646,2,2,0,0,21_EOM,"train(2024-2025): mean(SALES_AMT|month,dow,is_holiday,dom_bucket)/mean(SALES_AMT|month); apply 2026 official HK holidays; normalize mean(weight)=1 per month"
